ID,COLLECT_SITE_CODE,ITEM_CLASS_CODE_VIEW,TYPE_CODE_VIEW,GROUP_CODE_VIEW,ITEM_CODE_VIEW,GOODS_CODE,GOODS_NAME,SIZE
209919,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,23490J5,NEW ARRIVAL 2018SS 우먼즈 크로스 베타 탱크 탑 Patagonia Womens Cross Beta Tank Top(23490J5),1000025628944:M(90~95)
210938,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,TJMS1XNE31A0,타미진 코튼 스트라이프 패턴 프린트 우븐 박서,1000025275280:S
210939,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,TJMS1XNE31A0,타미진 코튼 스트라이프 패턴 프린트 우븐 박서,1000025275280:M
210940,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,TJMS1XNE31A0,타미진 코튼 스트라이프 패턴 프린트 우븐 박서,1000025275280:L
210941,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,TJMS1XNE31A0,타미진 코튼 스트라이프 패턴 프린트 우븐 박서,1000025275280:XL
211328,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,CW1521U,2018년 S/S 신상 여자 쿨 라운드 이너웨어 (CW1521/핑크),1000026181825:XS(85)
211329,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,CW1521U,2018년 S/S 신상 여자 쿨 라운드 이너웨어 (CW1521/핑크),1000026181825:S(90)
211330,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,CW1521U,2018년 S/S 신상 여자 쿨 라운드 이너웨어 (CW1521/핑크),1000026181825:M(95)
211331,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,CW1521U,2018년 S/S 신상 여자 쿨 라운드 이너웨어 (CW1521/핑크),1000026181825:L(100)
212856,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8003,프리즘 베이직 민소매티 7DA8003-KH,1000022631501:95
212857,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8003,프리즘 베이직 민소매티 7DA8003-KH,1000022631501:100
212858,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8003,프리즘 베이직 민소매티 7DA8003-KH,1000022631501:105
214612,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G513B,블랙 Aerocool 언더웨어 팬티 (LEUN7G513),1000021151314:90
214613,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G513B,블랙 Aerocool 언더웨어 팬티 (LEUN7G513),1000021151314:95
214614,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G513B,블랙 Aerocool 언더웨어 팬티 (LEUN7G513),1000021151314:100
216029,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,카오스S브라2YJ,블랙야크 여성용 기능성스포츠브라 카오스S브라2YJ,1000018563073:90
216030,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,카오스S브라2YJ,블랙야크 여성용 기능성스포츠브라 카오스S브라2YJ,1000018563073:95
216031,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,카오스S브라2YJ,블랙야크 여성용 기능성스포츠브라 카오스S브라2YJ,1000018563073:100
216842,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,7CA8007,TRIPLE PACK(트리플 팩) _드로즈7CA8007,1000022757655:95
216843,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,7CA8007,TRIPLE PACK(트리플 팩) _드로즈7CA8007,1000022757655:100
216844,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,7CA8007,TRIPLE PACK(트리플 팩) _드로즈7CA8007,1000022757655:105
216908,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,BC7097,2017년 아디다스골프 클라이마히트 테크핏 남성용 이너웨어(BC7097블랙),1000023473257:M
216909,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,BC7097,2017년 아디다스골프 클라이마히트 테크핏 남성용 이너웨어(BC7097블랙),1000023473257:L
216910,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,BC7097,2017년 아디다스골프 클라이마히트 테크핏 남성용 이너웨어(BC7097블랙),1000023473257:XL
